업소명,업종,지역,연락처,주소,영업시간,품목,데이터기준일자
뽈살집,음식점,제주시,064-796-5860,제주특별자치도 제주시 한림읍 한림상로 194,12:30~23:00 / 월 2회(휴무일 유동적),뽈살(180g) 9500 갈매기살(180g) 10000원 가브리살(180g) 10000원,2021-06-15
동명본가,음식점,제주시,064-796-6534,제주특별자치도 제주시 한림읍 한림상로 61,17:00~22:00 / 매주 일요일,흑돼지무한리필 (1인) 13900,2021-06-15
구이사이,음식점,제주시,064-799-9242,제주특별자치도 제주시 애월읍 신엄9길 2,06:00~21:00 / 둘째.넷쨰 일요일,양념갈비(300g) 14000원 정식 7000원,2021-06-15
진심칼국수,음식점,제주시,,제주특별자치도 제주시 애월읍 중산간서로 6703,월~금 10:00~20:00토 10:00~15:00 / 매주 일요일,칼국수 6500원 김치칼국수 6500원 흑돼지불고기(120g) 3500원 제육덮밥 7500원,2021-06-15
산들촌,음식점,제주시,064-712-1200,제주특별자치도 제주시 애월읍 평화로 2751,09:00~21:00 / 매주 일요일,성게국 10000원 전복죽 10000원,2021-06-15
비자림길,음식점,제주시,064-782-5118,제주특별자치도 제주시 구좌읍 비자림로 2682,11:00~18:00 /매주 화요일,흑돼지정식 8000원 갈치조림 中 38000원 고등어조림 中 25000원,2021-06-15
오동여,음식점,제주시,064-742-9086,제주특별자치도 제주시 추자면 추자로 18,09:00~21:00 /연중 무휴,삼치회(2인) 30000원 자연산회(대) 50000원 해산물모듬회(대) 50000원,2021-06-15
도원식당,음식점,제주시,,제주특별자치도 제주시 동문로4길 9,09:00~20:00 /설 추석당일,칼국수 6000원 김밥 2000원 콩국수 6000원,2021-06-15
속초집,음식점,제주시,064-752-2848,제주특별자치도 제주시 신산로 6,10:00~22:00/연중무휴,냉면 7000원 쭈꾸미 8000원,2021-06-15
동우네,음식점,제주시,064-755-7482,제주특별자치도 제주시 연수로3길 23,08:00~20:00 / 매주 일요일,순두부 5000원 비빔밥 5500원,2021-06-15
삼주손칼국수,음식점,제주시,064-756-8892,제주특별자치도 제주시 천수로 56,07:00~17:00 / 매주 일요일,닭칼국수 6000원 해물칼국수 6000원 멸치칼국수 5500원 김밥 2000원,2021-06-15
성춘식당,음식점,제주시,064-753-0528,제주특별자치도 제주시 성지로 68,08:00~21:00 / 연중무휴,순두부 5000원 몸국 6000원 고기국수 6000원 국밥 6000원 자리물회 8000원,2021-06-15
다랑시국수,음식점,제주시,064-752-8013,제주특별자치도 제주시 신산로 52,17:00~06:00 / 연중무휴,멸치국수 4000원 고기국수 6000원 열무국수 6000원 비빔국수 5000원,2021-06-15
남현순대,음식점,제주시,064-751-3374,제주특별자치도 제주시 천수로 56,10:00~23:00 / 연중무휴,순대국밥 6000원 고기국수 6000원 멸치국수 5000원 콩국수 6000원 몸국 6000원 냉국수 6000원,2021-06-15
용초밥,음식점,제주시,,제주특별자치도 제주시 신선동길 19-1,11:00~15:00(커피) 08:00~13:00 / 연중무휴(예약제운영),부시리초밥 7900 광어초밥 8900 부시리용초밥(2인분) 17800,2021-06-15
명가돈까스,음식점,제주시,064-711-0204,제주특별자치도 제주시 태성로2길 30-1,11:00~21:00브레이크타임 15:00~17:00 / 제주민속오일장날(매월 2·7·12·17·22·27일),등심돈까스 6000원 치즈돈까스 7000원 안심돈까스 6000원 치킨까스 7000원,2021-06-15
제주토속,음식점,제주시,064-758-8948,제주특별자치도 제주시 동광로1길 27-1,09:00~19:00 / 매월 마지막 일요일,몸국 5000원 멸치국수 4000원,2021-06-15
광주빛고을,음식점,제주시,,제주특별자치도 제주시 동광로5길 8,17:00~22:00(배달 15:00~23:00) / 연중무휴,아귀찜(소) 25000원 아귀찜(중) 30000원 아귀찜(대) 40000원,2021-06-15
도남오거리도남점,음식점,제주시,064-757-9118,제주특별자치도 제주시 도남로6길 16,15:00~24:00 / 설.추석 전날과 당일,김치찌개 5000원 돼지양념갈비(360g) 14000원,2021-06-15
